DAY,CORRECTNESS,NUM_RESULT_OWNERS,NUM_QUESTIONS
2018-07-16,1,3287,28132
2018-07-01,1,1150,9046
2018-06-26,3,1824,6497
2018-07-11,2,3289,20369
2018-05-20,1,1590,12243
2018-04-14,1,1383,12183
2018-09-23,2,3576,26183
2018-05-12,3,521,1878
2018-03-04,1,1561,13881
2018-08-12,2,1073,5432
2018-06-29,1,1838,14832
2018-06-29,2,1628,7958
2018-09-14,1,71237,620642
2018-05-03,1,16271,149253
2018-01-24,1,19019,172658
2018-09-01,3,852,3894
2018-10-23,2,342812,1012678
2018-05-08,3,7135,26352
2018-02-06,2,18639,153951
2018-02-22,2,16420,128140
2018-05-10,2,13736,76936
2018-08-13,2,17697,116850
2018-10-09,1,55504,456471
2018-11-16,1,41813,338286
2018-10-02,2,59224,362830
2018-11-02,3,92353,230312
2018-10-22,2,330729,979000
2018-08-03,2,4328,29820
2018-04-02,1,8877,79216
2018-01-25,1,18787,179333
2018-03-29,1,11740,103653
2018-08-25,1,1582,14998
2018-11-12,3,14351,46857
2018-05-14,3,7607,28733
2018-11-14,2,48203,280168
2018-06-20,2,4817,30244
2018-11-11,1,2330,21469
2018-03-25,2,1337,9732
2018-06-23,2,1024,4769
2018-06-30,1,582,4780
2018-08-12,1,1204,9519
2018-07-27,1,1766,13068
2018-11-22,1,1469,13613
2018-08-05,2,899,4417
2018-03-21,2,14885,111730
2018-03-08,1,17738,155870
2018-10-29,1,310992,1094022
2018-01-25,2,19211,165032
2018-04-23,3,8175,29178
2018-04-12,1,17045,147963
2018-08-22,1,43904,385163
2018-09-12,1,72864,612134
2018-10-31,2,194996,590106
2018-11-28,1,47300,376777
2018-03-16,2,13745,102516
2018-04-03,1,12316,111562
2018-06-21,3,2197,8451
2018-02-16,1,13832,126804
2018-03-19,2,17653,136190
2018-04-27,1,13621,117462
2018-09-29,2,2116,12973
2018-04-23,2,16382,98352
2018-06-25,2,4060,24137
2018-06-05,2,10714,72318
2018-05-20,2,1336,5926
2018-08-18,2,1263,7380
2018-08-01,1,3287,30950
2018-06-22,3,1275,4850
2018-06-24,3,672,2375
2018-03-24,2,1028,7362
2018-07-15,3,600,2131
2018-03-19,1,17575,155796
2018-04-10,1,17924,151730
2018-04-18,2,15076,85756
2018-02-23,1,15846,143263
2018-05-09,2,14941,88042
2018-06-02,2,950,4405
2018-08-23,1,50560,427069
2018-01-31,1,18277,161814
2018-11-04,2,33454,99392
2018-11-13,2,49607,289293
2018-08-22,3,19504,70757
2018-02-12,2,16168,124552
2018-11-26,1,46666,378205
2018-03-03,1,1115,10391
2018-07-13,2,1608,7462
2018-08-06,1,7046,55851
2018-11-22,2,1344,7615
2018-04-08,2,2147,13778
2018-09-03,3,1976,10271
2018-03-11,2,1374,9482
2018-01-07,1,1582,17478
2018-03-10,2,1177,8223
2018-08-11,3,514,1868
2018-04-07,1,1764,14305
2018-07-21,2,893,4286
2018-06-29,3,859,2978
2018-11-13,1,51336,422627
2018-10-29,2,295987,899803
2018-10-15,2,55771,330557
2018-10-26,1,238390,865155
2018-05-31,1,10722,96506
2018-08-21,3,18247,64427
2018-11-01,2,288735,882565
2018-10-15,1,57613,471242
2018-06-06,1,11167,110272
2018-09-07,1,81661,717629
2018-08-28,3,27239,106823
2018-11-04,3,20821,58677
2018-05-09,1,15489,140536
2018-05-07,2,15848,93105
2018-06-01,2,7286,39585
2018-05-04,1,14396,128821
2018-09-02,2,1810,12090
2018-06-28,1,3158,29173
2018-07-31,2,2587,14714
2018-03-20,2,17615,133414
2018-06-20,3,2473,9393
2018-01-21,1,1923,17630
2018-07-02,2,3531,20943
2018-02-25,1,1651,15862
2018-05-13,1,1149,10450
2018-07-14,3,533,1854
2018-07-14,2,871,4069
2018-11-17,2,1554,7540
